irc.servercentral.net Tue Dec 26 23:43:09 2006
#BROTHERS 1
#CyberSphere 1
#originalnick_static 1
#ringtones 1
#kernz 1
#glined 1
#tribalwar 2
#COS 1
#boomboomroom 1
#bbrchat.com 1
#am3p 1
#jogja 2
#lollo 1
#desi-movies 1
#FJP 1
#TNCISO 1
#exploitz 1
#hackz 1
#smdepot 1
#HarbOtisthebest 1
#gmail 1
#www.attapi.net 1
#Tammy-<3's-Cripy 1
#goodbye 1
#waikiki 1
#i-love-to-cyber-because-im-a-WebTV-whore 1
#may 2
#slickdealz 1
#omgwtfbbq 2
#fkp 1
#swemetal 1
#Wpgsluts 1 :: Inter - The Difference Is Depth ::
#gaypozcum 1
#msnlvegas 1
#abes 1
#hhzat 2
#deafzone 1
#Cornell 2
#rewa 1
#DeSeRT| 1
#127001 1
#warez-r-us 1
#krashed 2
#marnsuxatlife 2 yeah, he does
#mp3-rock 1
#blackcatsstaff 1
#Tea.Echo 1
#|KPiG| 1
#STATS-KYO 1
#Scripts-Kyo 1
#drachenhoehle-spam 1
#discobiscuit 1
#david-hasselhoff 1
#zam 1
#zwi 1
#NMR-Spam 1
#eff 1
#Fux0rs 1
#pokerithailand 1
#silence2 1
#XBOX-GODZ 1
#smÂttoggodt 1
#angelroms 1
#alt.binaries.emulators.nintendo-ds 1
#soad.msk 1
#xaag 1
#fb_test 1
#allin 1
#boioioing 1
#emoten 1
#CP-BOTS 1
#static- 1
#pstars 1
#deadgod 1
#7/11 1
#black_hole 1
#EURO-RECRUIT 1
#bulldogs 1
#peppers 1
#untouchables 1
#NEWS-RADIO 1
#RSHTEAM 1
#ignorance 1
#sdasdds 1
#ubita 3
#linuxpower 1
#tapai 1
#omenserve 1
#radio&electronics 1
#187 1
#uvm 1
#ps2-gods 1
#CONSOUL 1
#warez~games~apps 1
#warez-2-all 1
#weaponworld 1
#gayky 1
#wzntxdcc 1
#xbconnect 1
#animeigo 1
#securefiber 3
#cali 3
#xbox&ps2 1
#xboxiso 2
#xbox-trade 1
#xdcc_fr 1
#TOPDUPE 2
#TOPVIEW 2
#xdcc4u 1
#xdcc-central 1
#nordicradio.no 1
#DSS-NET 1
#xdcc-hub 1
#xdcc-mp3 1
#xdcc-svcd 1
#beerandmidgets 1  4http://www.tshirthell.com/store/product.php?productid=830
#xmania 1
#0ldsaber 1
#quikphix 1
#roffle 1
#zemaitija 1
#zalgiris 1
#stumbras 1
#roxette 1
#prima 1
#plunge 1
#litwix 1
#greendeath 1
#ddvd 1
#osrhq 1
#osr 1
#logrolling 1
#GayRubber 1 Latex, Neoprene, it's all good.
#info-world 1
#doghouse 1
#nerdcore 2 Where mike be at!
#pseudo1 1
#xUNiT 1
#mazafaka 1
#debylai 1
#vaikinai 1
#FuglyCat 1
#hmmm 1
#ozzy 1
#SVCD-MOVIES 1
#WyRm 1
#MOVIES-GAMES 1
#warez950-dcc 1
#bitmetv 1
#qqtteam 1
#mv-xdcc 1
#vme 1
#svcdrip 1
#wow-eu 1
#@#@#@JUKES 1
#prople 1
#zw@hotmail.com 1
#48plus 1
#fj34r 1
#beercave 1
#sfbot 1
#fuck666kiyy 2
#mrc 1
#today 1
#annoyingwinampscript 1
#nakedpillowfights 1
#frelon 2
#gaychub@sg 2
#gibson 1
#gangis_is_a_cripple 1
#vd 1
#INDIAN 1
#dulci 1
#soulnet 1
#gamecoding 1
#zmod 1
#dx-c 1
#cndbcn 1
#drugnews 1
#3–4@3nKW4@9RÎ3Z1 1
#50+welcome 3
